generation,N_shifts,logPrior,logLik,eventRate,acceptRate
339000,2,1.69716,-17.5744,1.09618,0.373
340000,2,2.26684,-11.5092,0.328186,0.3575
341000,3,-0.0492651,-2.20658,1.98907,0.366
342000,3,3.22525,-12.6765,0.151494,0.279
343000,3,-0.213045,-9.2294,2.28632,0.369
344000,1,0.667768,-7.18639,1.55562,0.299
345000,3,-2.36326,-5.3193,2.76968,0.342
346000,3,3.58181,-9.41478,1.95576,0.335
347000,2,-8.11207,-16.2756,3.80304,0.383875
348000,1,2.06687,-11.4823,0.290214,0.453
349000,1,1.68478,-7.8766,0.761615,0.388
350000,1,1.72026,-14.313,0.0452823,0.357
351000,2,-0.376792,-14.2194,3.08806,0.471
352000,3,3.9177,-19.7669,1.91039,0.384167
353000,1,0.515418,-11.9476,1.06937,0.373364
354000,1,1.745,-5.93294,0.684331,0.4275
355000,1,1.41091,-8.63211,1.11553,0.4305
356000,1,2.30291,-13.23,0.298189,0.409
357000,2,1.68548,-5.20264,1.37215,0.32525
358000,1,0.724653,-9.02514,1.08061,0.34425
359000,2,-0.781212,-4.54057,1.51592,0.3455
360000,4,4.17674,-7.18468,2.07516,0.370286
361000,1,0.768354,-8.16953,0.741135,0.317333
362000,2,1.68075,-12.3993,0.381764,0.332
363000,3,0.770345,-10.1691,2.49993,0.368571
364000,1,1.3768,-9.12612,1.12326,0.344
365000,1,0.0351339,-8.38443,1.85367,0.372
366000,1,-1.72373,-9.60782,1.51612,0.373
367000,1,-2.55534,-6.28487,2.16788,0.36
368000,2,0.689034,-6.02364,1.06344,0.314
369000,1,2.27598,-12.6013,0.126159,0.358
370000,2,1.27707,-21.8195,1.31265,0.515833
371000,1,2.67904,-19.4168,0.430472,0.567
372000,1,0.229952,-22.8585,3.01536,0.488
373000,2,-0.172577,-26.9813,1.39395,0.541
374000,5,-0.386575,-23.6957,6.93665,0.527
375000,1,1.53644,-23.4088,0.147387,0.573
376000,1,1.3461,-20.2502,0.83981,0.482
377000,1,2.52233,-18.8376,0.417402,0.511
378000,1,0.936339,-11.2445,1.22228,0.359667
379000,2,0.887339,-21.5144,1.22563,0.478
380000,2,-0.000531314,-14.8937,0.187962,0.514
381000,2,0.827536,-13.9026,3.69267,0.463
382000,1,-0.826639,-12.2969,2.03999,0.411
383000,2,1.09954,-13.3805,1.35299,0.451
384000,1,0.887502,-9.44913,0.732618,0.441
385000,1,-0.522695,-6.19037,2.10555,0.331
386000,2,0.565501,-11.0249,0.458378,0.441115
387000,3,-4.11986,-16.3682,1.69785,0.472
388000,1,0.388578,-13.6011,0.698803,0.403333
389000,1,-0.365933,-16.9808,1.00129,0.474
390000,1,-3.47965,-13.7803,0.438213,0.443
391000,1,-3.81914,-8.55701,1.15836,0.349
392000,1,0.675669,-9.06272,0.976488,0.318
393000,1,0.332039,-11.2374,0.278682,0.367
394000,2,-0.012468,-7.86299,1.14949,0.4552
395000,2,-1.23474,-1.84623,2.03863,0.297
396000,4,1.67228,-2.89297,2.61175,0.295
397000,2,1.15821,-9.52207,1.95164,0.334
398000,1,1.66659,-9.87331,1.69829,0.3718
399000,2,1.14105,-20.5048,0.673962,0.421
400000,1,0.034036,-12.4429,0.710295,0.452
401000,1,-2.1721,-13.5175,1.65614,0.421
402000,1,-0.555073,-12.9963,0.509129,0.3806
403000,1,2.14926,-6.38344,0.185848,0.415
404000,3,2.23714,-7.55058,0.569706,0.391023
405000,1,-2.92356,-6.88116,0.403262,0.38
406000,3,-0.920205,-11.0788,2.76648,0.367
407000,1,0.0754366,-14.7931,0.621775,0.3645
408000,2,2.91173,-16.381,1.13925,0.489
409000,3,2.5998,-16.9387,1.63641,0.474
410000,1,1.19508,-19.2957,0.564121,0.507
411000,1,2.47964,-10.1456,0.1113,0.4302
412000,1,0.158699,-14.228,1.25174,0.439
413000,2,1.04075,-10.8319,2.18851,0.384
414000,1,0.444167,-18.6383,2.0418,0.461667
415000,2,1.39094,-5.40272,0.562584,0.378556
416000,1,1.10101,-7.24166,1.04347,0.352
417000,1,-1.06711,-6.6616,2.56076,0.347167
418000,1,2.84609,-9.22798,0.18757,0.375
419000,2,3.1925,-7.7789,1.29338,0.377
420000,3,-0.456328,-5.27803,3.69807,0.3458
421000,1,-0.848878,-8.66322,1.03096,0.358
422000,1,1.54925,-16.0471,0.982315,0.391
423000,1,2.05193,-13.8796,0.784409,0.387
424000,2,2.52652,-23.7495,1.44048,0.469
425000,2,0.487554,-18.5548,0.917508,0.448909
426000,2,2.18624,-13.075,1.15297,0.442
427000,4,1.36914,-12.6397,2.38786,0.393
428000,6,6.36246,-9.04222,2.10108,0.4355
429000,1,1.85572,-10.0481,0.757868,0.453
430000,1,1.02264,-10.6162,0.544366,0.3614
431000,1,-0.967019,-8.38406,0.66708,0.38125
432000,1,2.00932,-9.05983,0.486812,0.411375
