"species","WT_num_transcript","WT_num_gene","WT_num_exon","WT_num_uniqExon","WT_min_transcriptPerGene","WT_min_exonPerTranscript","WT_min_exonPerGene","WT_q1_transcriptPerGene","WT_q1_exonPerTranscript","WT_q1_exonPerGene","WT_median_transcriptPerGene","WT_median_exonPerTranscript","WT_median_exonPerGene","WT_q3_transcriptPerGene","WT_q3_exonPerTranscript","WT_q3_exonPerGene","WT_max_transcriptPerGene","WT_max_exonPerTranscript","WT_max_exonPerGene","WT_mean_transcriptPerGene","WT_mean_exonPerTranscript","WT_mean_exonPerGene","WT_std_transcriptPerGene","WT_std_exonPerTranscript","WT_std_exonPerGene","ortho_num_transcript","ortho_num_gene","ortho_num_exon","ortho_num_uniqExon","ortho_min_transcriptPerGene","ortho_min_exonPerTranscript","ortho_min_exonPerGene","ortho_q1_transcriptPerGene","ortho_q1_exonPerTranscript","ortho_q1_exonPerGene","ortho_median_transcriptPerGene","ortho_median_exonPerTranscript","ortho_median_exonPerGene","ortho_q3_transcriptPerGene","ortho_q3_exonPerTranscript","ortho_q3_exonPerGene","ortho_max_transcriptPerGene","ortho_max_exonPerTranscript","ortho_max_exonPerGene","ortho_mean_transcriptPerGene","ortho_mean_exonPerTranscript","ortho_mean_exonPerGene","ortho_std_transcriptPerGene","ortho_std_exonPerTranscript","ortho_std_exonPerGene"
"Pyrus_x_bretschneideri",54583,38969,345256,237554,1,1,1,1,3,2,1,5,4,1,9,8,50,111,111,1.400677462,6.325339391,6.096538274,1.069896374,5.438135156,5.593154908,45874,32782,308184,213624,1,1,1,1,3,2,1,5,5,1,9,9,50,73,73,1.399365505,6.7180538,6.516746995,0.996952539,5.650413719,5.778737277
"Quercus_suber",66715,53852,317843,232695,1,1,1,1,2,1,1,3,3,1,6,5,47,72,75,1.238858353,4.764190962,4.321937904,0.912410386,4.681024062,4.595687378,44751,33932,258963,183382,1,1,1,1,2,2,1,4,4,1,8,7,47,72,75,1.318843569,5.786753369,5.40525168,1.017651402,5.186031922,5.240490866
"Rosa_chinensis",66835,38649,429438,229586,1,1,1,1,3,2,1,5,4,2,9,8,50,79,89,1.729281482,6.425346001,5.941861368,2.218214106,5.215754182,5.813362741,42024,25843,293075,168155,1,1,1,1,3,2,1,6,5,2,10,9,50,79,89,1.626126998,6.973991053,6.507448826,1.737177743,5.807541974,6.104662426
"Selaginella_moellendorffii",50436,36907,336974,235634,1,1,1,1,2,2,1,5,4,1,9,9,20,79,83,1.366570027,6.681219764,6.3867559,0.918591641,5.907224719,6.077948497,29308,20374,241917,166250,1,1,1,1,4,3,1,7,7,2,11,11,20,79,83,1.438500049,8.254299167,8.160940414,0.956431765,6.358570815,6.656854593
"Sesamum_indicum",39453,25992,261239,164891,1,1,1,1,3,2,1,5,5,2,9,9,49,79,79,1.51789012,6.621524345,6.345298553,1.306419677,5.584321326,5.861402923,35316,23060,245124,155440,1,1,1,1,3,2,1,5,5,2,9,9,49,79,79,1.531483088,6.940876656,6.741110147,1.263294252,5.62695257,5.963134746
"Solanum_tuberosum",44241,31543,265963,177814,1,1,1,1,2,2,1,4,4,1,8,8,50,80,86,1.402561583,6.011685993,5.638113052,1.223025779,5.522281348,5.479957141,36952,26699,239118,161974,1,1,1,1,2,2,1,5,4,1,9,8,30,80,86,1.384021873,6.471043516,6.067081164,1.062113643,5.699038538,5.643711693
"Sorghum_bicolor",48775,31624,292087,184349,1,1,1,1,2,2,1,4,4,1,8,8,50,81,82,1.54234126,5.988457201,5.830666582,1.784036996,5.219703526,5.706395678,37512,25702,244992,160193,1,1,1,1,2,2,1,5,4,1,9,9,42,81,82,1.459497315,6.53103007,6.23387285,1.319880826,5.680912792,5.879651052
"Theobroma_cacao",35082,23715,229173,146579,1,1,1,1,3,2,1,5,4,2,9,8,32,79,80,1.479316888,6.532495297,6.181699346,1.165676163,5.738690536,5.837868981,31169,20735,217025,137465,1,1,1,1,3,2,1,5,5,2,9,9,27,79,80,1.503207138,6.962847701,6.630190499,1.154955368,5.912143869,6.047504545
"Vigna_angularis",40990,28294,262402,170992,1,1,1,1,2,2,1,5,4,1,9,8,21,78,86,1.448717042,6.401610149,6.043825546,1.115768809,5.570597991,5.649844745,36797,25160,248213,161396,1,1,1,1,3,2,1,5,5,1,9,9,21,78,86,1.462519873,6.745468381,6.41490461,1.100077075,5.718897165,5.798879606
"Vitis_vinifera",47296,28371,310459,175366,1,1,1,1,3,2,1,5,4,2,9,8,44,79,87,1.667054387,6.564170332,6.183180008,1.693369638,5.59035999,5.970651443,40234,23588,285459,159398,1,1,1,1,3,2,1,6,5,2,10,9,44,79,87,1.705697812,7.094969429,6.758902832,1.680315487,5.794563591,6.217499993
"Zea_mays",78365,45738,496625,259302,1,1,1,1,2,2,1,5,3,2,9,8,50,79,81,1.713345577,6.337331717,5.67182649,2.373431746,5.707107316,6.098197458,53412,28216,401258,203095,1,1,1,1,3,2,1,6,5,2,10,10,50,79,81,1.892968528,7.512506553,7.198575276,2.383137978,6.118659414,6.670813125
"Ziziphus_jujuba",50542,33507,298446,190961,1,1,1,1,2,2,1,4,4,1,8,8,50,78,88,1.50840123,5.904910767,5.700182052,1.378870156,5.195878256,5.519228958,38843,25106,256467,161957,1,1,1,1,3,2,1,5,5,2,9,9,41,78,78,1.547160041,6.602656849,6.451326376,1.307503852,5.556172433,5.863986546
