gene_id,num_transcript,num_exon,num_uniq_exon
LOC100191385,1,1,1
LOC100191386,1,1,1
LOC100191387,2,28,17
LOC100191388,1,1,1
LOC100191389,4,18,11
LOC100191390,3,30,13
LOC100191392,2,14,9
LOC100191393,1,1,1
LOC100191394,2,8,6
LOC100191395,8,115,22
LOC100191396,2,3,3
LOC100191397,2,3,3
LOC100191398,2,19,12
LOC100191399,12,69,22
LOC100191400,1,1,1
LOC100191401,1,7,7
LOC100191402,2,32,19
LOC100191403,1,8,8
LOC100191404,1,10,10
LOC100191405,4,12,9
LOC100191406,1,8,8
LOC100191407,1,7,7
LOC100191408,1,6,6
LOC100191409,1,4,4
LOC100191410,2,24,14
LOC100191411,1,6,6
LOC100191412,2,10,8
LOC100191413,1,1,1
LOC100191414,1,5,5
LOC100191415,1,8,8
LOC100191416,1,5,5
LOC100191417,1,1,1
LOC100191418,1,6,6
LOC100191419,3,6,5
LOC100191420,5,33,14
LOC100191422,2,17,11
LOC100191423,8,121,25
LOC100191424,1,6,6
LOC100191425,1,4,4
LOC100191426,1,3,3
LOC100191427,1,14,14
LOC100191428,2,4,4
LOC100191429,2,20,12
LOC100191430,1,2,2
LOC100191431,2,13,9
LOC100191432,11,127,19
LOC100191433,2,13,9
LOC100191434,1,4,4
LOC100191435,3,60,21
LOC100191436,1,11,11
LOC100191437,1,2,2
LOC100191438,2,8,7
LOC100191439,2,7,6
LOC100191440,1,1,1
LOC100191441,1,11,11
LOC100191442,1,4,4
LOC100191443,1,10,10
LOC100191444,1,5,5
LOC100191445,2,20,12
LOC100191446,1,1,1
LOC100191447,1,3,3
LOC100191448,2,26,16
LOC100191449,5,29,12
LOC100191450,1,13,13
LOC100191451,1,4,4
LOC100191452,3,18,10
LOC100191453,1,5,5
LOC100191454,1,6,6
LOC100191455,2,6,5
LOC100191456,1,2,2
LOC100191457,8,130,26
LOC100191458,2,5,5
LOC100191459,1,8,8
LOC100191460,1,10,10
LOC100191461,2,18,12
LOC100191462,2,4,4
LOC100191463,1,21,21
LOC100191464,3,39,16
LOC100191465,1,4,4
LOC100191466,1,8,8
LOC100191467,1,3,3
LOC100191468,4,31,14
LOC100191469,1,14,14
LOC100191470,1,4,4
LOC100191471,1,3,3
LOC100191472,1,1,1
LOC100191473,1,7,7
LOC100191474,2,32,18
LOC100191475,4,32,12
LOC100191476,2,29,17
LOC100191477,4,58,19
LOC100191478,1,7,7
LOC100191479,1,7,7
LOC100191480,3,11,8
LOC100191481,2,12,9
LOC100191482,3,11,7
LOC100191483,1,1,1
LOC100191484,1,3,3
LOC100191485,1,9,9
LOC100191486,1,1,1
LOC100191487,1,3,3
LOC100191488,1,12,12
LOC100191489,1,6,6
LOC100191490,2,3,3
LOC100191491,2,9,7
LOC100191492,4,24,11
LOC100191493,1,2,2
LOC100191494,1,5,5
LOC100191495,3,18,10
LOC100191496,8,121,27
LOC100191497,1,2,2
LOC100191498,1,11,11
LOC100191499,1,1,1
LOC100191500,1,2,2
LOC100191501,1,1,1
LOC100191502,3,20,12
LOC100191503,1,7,7
LOC100191504,1,7,7
LOC100191505,5,45,15
LOC100191506,1,16,16
LOC100191507,1,2,2
LOC100191508,1,12,12
LOC100191509,5,92,24
LOC100191510,2,14,10
LOC100191511,2,5,5
LOC100191512,1,2,2
LOC100191513,1,9,9
LOC100191514,7,50,17
LOC100191515,1,8,8
LOC100191516,1,4,4
LOC100191517,2,8,7
LOC100191518,1,9,9
LOC100191519,1,2,2
LOC100191520,1,9,9
LOC100191521,1,1,1
LOC100191522,1,7,7
LOC100191523,3,34,15
LOC100191524,1,2,2
LOC100191526,3,6,5
LOC100191527,1,5,5
LOC100191528,1,4,4
LOC100191529,1,4,4
LOC100191530,1,7,7
LOC100191531,1,3,3
LOC100191532,1,4,4
LOC100191533,1,3,3
LOC100191534,1,3,3
LOC100191535,1,7,7
LOC100191536,1,1,1
LOC100191537,1,1,1
LOC100191538,6,28,14
LOC100191539,2,6,6
LOC100191540,1,2,2
LOC100191541,1,5,5
LOC100191542,1,1,1
LOC100191543,4,38,14
LOC100191544,1,1,1
LOC100191545,3,24,13
LOC100191546,1,4,4
LOC100191547,2,26,16
LOC100191548,2,7,6
LOC100191549,1,7,7
LOC100191550,1,7,7
LOC100191551,1,1,1
LOC100191552,1,1,1
LOC100191553,1,12,12
LOC100191554,1,1,1
LOC100191555,2,5,5
LOC100191556,4,19,12
LOC100191557,1,5,5
LOC100191559,1,1,1
LOC100191560,1,2,2
LOC100191561,3,14,9
LOC100191562,2,16,10
LOC100191563,1,3,3
LOC100191564,3,47,21
LOC100191565,2,22,14
LOC100191566,1,4,4
LOC100191567,9,88,23
LOC100191568,2,5,5
LOC100191569,1,1,1
LOC100191570,1,1,1
LOC100191571,2,29,17
LOC100191572,1,10,10
LOC100191573,4,35,16
LOC100191574,1,5,5
LOC100191575,1,4,4
LOC100191576,6,31,12
LOC100191577,2,16,11
LOC100191578,1,8,8
LOC100191579,1,8,8
LOC100191580,1,14,14
LOC100191581,1,5,5
LOC100191582,1,6,6
LOC100191584,2,4,4
LOC100191586,1,8,8
LOC100191587,2,13,9
LOC100191588,1,6,6
LOC100191589,4,34,13
LOC100191590,1,1,1
LOC100191591,1,4,4
LOC100191592,1,3,3
LOC100191593,1,2,2
LOC100191594,13,69,19
LOC100191595,2,5,5
LOC100191596,1,14,14
LOC100191598,1,2,2
LOC100191599,4,11,10
LOC100191600,3,12,8
LOC100191601,1,14,14
LOC100191602,1,2,2
LOC100191603,2,21,13
LOC100191604,1,10,10
LOC100191605,4,47,17
LOC100191606,1,7,7
LOC100191607,1,2,2
