generation,N_shifts,logPrior,logLik,eventRate,acceptRate
223000,5,-0.691106,-33.9948,5.16627,0.372
224000,6,4.82528,-25.2725,2.85027,0.378
225000,5,1.4208,-30.4132,3.93593,0.376
226000,3,5.8932,-48.2611,1.18078,0.407714
227000,5,4.88186,-50.2029,0.811236,0.412
228000,4,5.6781,-38.5977,2.69942,0.381
229000,4,1.37462,-47.7761,4.64394,0.376
230000,5,6.58251,-43.4832,3.05052,0.411222
231000,6,6.98506,-49.2638,2.52871,0.432
232000,3,3.14142,-47.177,2.67548,0.387
233000,6,4.64482,-37.9881,2.27752,0.406
234000,5,-0.00846715,-59.8867,2.36263,0.402556
235000,3,0.306758,-49.2615,3.2816,0.432
236000,4,0.0644691,-58.0594,1.20903,0.422
237000,3,1.86079,-50.045,4.11775,0.414
238000,4,5.79125,-58.0598,2.00415,0.421846
239000,3,5.05509,-46.9618,1.3924,0.43
240000,5,6.12731,-52.5285,2.3336,0.449
241000,5,5.82225,-57.257,3.61724,0.45
242000,3,3.84621,-53.1275,0.988226,0.399667
243000,5,0.212617,-51.9731,3.09071,0.41
244000,4,-1.2167,-53.2697,2.90689,0.436
245000,4,1.43269,-57.6928,1.03121,0.448
246000,3,3.23864,-40.3308,1.58308,0.422118
247000,4,3.30121,-45.885,2.18267,0.412
248000,4,1.55514,-39.3134,2.57571,0.431
249000,4,4.14698,-52.8859,2.22724,0.408
250000,3,4.57454,-42.3651,2.35672,0.432
251000,3,6.77347,-38.1935,0.592335,0.418
252000,4,6.593,-60.0819,1.88207,0.431545
253000,4,4.48029,-56.341,2.01012,0.431625
254000,3,4.705,-56.5547,0.996488,0.434
255000,4,5.0818,-48.9132,2.41144,0.445
256000,6,6.9258,-46.1724,3.24893,0.41
257000,4,0.786557,-51.7894,2.80382,0.4184
258000,3,2.93232,-43.5525,1.96444,0.4236
259000,3,0.815556,-40.3645,4.1448,0.423
260000,6,2.82075,-44.9097,2.67786,0.411
261000,3,4.33162,-46.7919,2.08681,0.4296
262000,3,1.49563,-45.6999,4.19063,0.401
263000,5,0.882752,-58.6393,5.65605,0.452
264000,3,5.7259,-51.8456,0.521064,0.426667
265000,4,3.59208,-50.6807,2.56696,0.407733
266000,4,1.51897,-41.781,2.7443,0.417
267000,5,4.34727,-59.6966,2.87864,0.4345
268000,4,6.31053,-65.9103,1.61234,0.431
269000,5,6.58331,-63.3223,3.02941,0.447
270000,6,6.90496,-69.0746,4.23874,0.463
271000,3,4.84467,-62.6292,1.93566,0.443857
272000,5,6.75467,-53.4406,2.15186,0.409667
273000,8,3.67801,-59.3333,5.78717,0.413
274000,4,3.89495,-48.5173,1.23743,0.418
275000,3,1.2549,-39.4806,2.41769,0.377
276000,3,3.4861,-38.2943,3.71168,0.4112
277000,4,0.658228,-36.5803,4.48509,0.373
278000,3,4.86765,-47.077,2.76184,0.436
279000,3,1.93265,-50.4354,2.75251,0.40675
280000,5,3.25716,-53.6268,3.14418,0.4255
281000,6,1.74723,-64.0469,3.45586,0.406
282000,4,2.70075,-46.5503,2.54378,0.438
283000,5,5.45617,-58.2719,2.16099,0.41735
284000,5,2.03272,-52.4127,7.17793,0.4015
285000,2,3.70358,-44.0785,2.11307,0.402286
286000,2,4.83375,-45.2335,0.997843,0.404
287000,4,2.93489,-52.855,1.48738,0.404
288000,4,2.50701,-47.225,3.07911,0.393444
289000,4,1.63669,-58.8197,2.36678,0.4198
290000,5,6.08114,-49.9731,2.96462,0.416286
291000,4,7.61773,-61.043,0.921431,0.419
292000,3,2.46007,-37.2311,1.32463,0.39025
293000,4,0.298003,-56.816,2.66224,0.382
294000,4,1.25497,-30.8609,2.9886,0.369
295000,3,2.56757,-39.1208,1.07624,0.386
296000,3,-1.09204,-37.0082,3.93126,0.362
297000,3,-0.0454574,-42.855,3.28923,0.393
298000,4,3.81394,-51.512,1.84314,0.395
299000,4,1.68992,-49.9413,1.58424,0.398
300000,4,2.16234,-39.1466,3.61948,0.397
301000,3,2.41088,-46.9406,1.66984,0.439
302000,3,5.87095,-60.033,0.860516,0.425077
303000,4,0.488731,-56.8125,7.05937,0.457
304000,4,6.766,-58.127,1.04787,0.44
305000,5,3.70801,-58.141,3.64022,0.41
306000,3,3.7128,-42.6694,2.81816,0.394263
307000,3,2.97858,-43.0221,2.64546,0.3875
308000,3,4.71117,-46.2853,1.00415,0.4
309000,3,5.15945,-50.8003,0.906787,0.428
310000,3,2.00607,-47.9113,3.59067,0.424
311000,3,3.46576,-38.3535,2.2523,0.345
312000,2,0.5535,-52.9714,2.52405,0.394
313000,2,4.87416,-52.6362,0.295692,0.422
314000,5,6.41784,-46.051,1.54505,0.372667
315000,4,2.48943,-56.866,2.98595,0.412625
316000,4,5.73501,-41.1494,1.14279,0.411
317000,5,5.66029,-27.1518,1.58938,0.393333
318000,5,6.24517,-35.5736,2.06435,0.367
319000,4,2.69945,-44.4651,1.74949,0.386667
320000,5,3.46202,-37.9679,3.65715,0.364
321000,2,4.81122,-58.1571,0.930437,0.416875
322000,2,2.90422,-45.1675,2.0523,0.421
323000,3,4.82768,-58.9624,1.75857,0.401
324000,2,3.88554,-57.368,1.07955,0.437
325000,2,2.5477,-52.0239,0.67502,0.432
326000,3,1.6941,-40.6864,1.37091,0.389
327000,2,1.37589,-40.3141,1.58859,0.402
328000,3,4.06892,-60.6952,0.622517,0.37
329000,4,-1.02247,-60.5829,2.03224,0.4074
330000,3,2.38679,-50.5648,1.42379,0.372
331000,3,1.59752,-52.8055,3.52355,0.382
332000,4,4.3343,-49.6618,2.75635,0.403
333000,2,4.24067,-41.8552,0.714102,0.4102
334000,2,4.95472,-38.1162,0.579966,0.372
335000,4,6.10651,-33.0301,1.05828,0.389667
336000,3,3.41832,-41.9063,3.66888,0.3825
337000,4,-0.521138,-54.1735,4.80887,0.407217
338000,6,2.95709,-47.4588,1.21306,0.426
339000,4,1.85461,-40.5666,1.65437,0.411
340000,3,1.08762,-49.114,1.89164,0.425
341000,3,2.9525,-45.7334,1.2571,0.434
342000,4,4.96885,-39.7395,1.719,0.398286
343000,4,0.973324,-53.735,1.98326,0.414455
344000,3,3.7513,-32.1817,2.16333,0.395
345000,6,-4.2862,-47.2959,5.81247,0.4235
346000,9,-5.06138,-41.5763,5.48638,0.389
347000,6,0.482486,-27.9019,8.01841,0.4016
348000,4,4.55322,-23.7422,4.05472,0.3805
349000,5,3.68203,-53.1356,2.87128,0.407
350000,6,3.44828,-36.6241,4.30271,0.39
351000,6,4.11812,-27.388,2.67156,0.378
352000,4,2.21081,-52.1119,3.07227,0.3996
353000,5,2.68446,-42.1204,3.25338,0.418
354000,3,1.95744,-40.6499,3.55493,0.406
355000,4,3.90685,-37.1563,2.84962,0.3995
356000,2,3.19562,-33.4118,2.48118,0.389375
357000,3,2.69759,-34.5831,2.67398,0.363
358000,3,1.35958,-49.9524,2.42423,0.38125
359000,4,4.3064,-44.0527,1.67356,0.435
360000,6,5.50619,-47.0486,4.4675,0.417
361000,7,10.8958,-41.5359,1.30047,0.424
362000,6,8.02219,-46.5454,2.76771,0.403
363000,3,3.71083,-43.1964,3.63949,0.401167
364000,3,4.2051,-37.9413,1.58429,0.375
365000,4,1.6237,-29.5485,2.75531,0.385429
366000,4,6.4822,-39.1476,0.716459,0.374
367000,5,5.68005,-31.0438,2.11564,0.428
368000,4,4.29066,-59.469,1.74947,0.397538
369000,4,3.15066,-45.2745,2.56567,0.386
370000,4,4.16199,-56.5629,2.04253,0.368
371000,8,1.6179,-49.0858,8.31687,0.39
372000,4,6.25876,-53.9581,2.44563,0.408
373000,4,-1.31664,-50.6086,3.01308,0.4155
374000,3,3.15103,-40.7008,1.61985,0.3966
375000,2,3.80056,-49.5623,1.36324,0.376
376000,7,6.08417,-53.3033,2.06016,0.427
377000,3,0.792652,-51.6419,1.92277,0.446
378000,2,4.82891,-54.5368,0.751866,0.445
379000,3,3.28899,-47.4365,0.935414,0.383
380000,3,2.34054,-48.3781,1.30102,0.398429
381000,3,-0.581892,-45.0012,1.27121,0.387
382000,3,-0.178334,-53.8502,1.61114,0.388
383000,6,2.17531,-49.517,3.88848,0.407154
384000,6,4.96729,-56.9207,2.42457,0.455
385000,3,5.40851,-38.8375,0.510441,0.429692
386000,2,5.56911,-30.702,0.28048,0.396
387000,2,3.6457,-41.1768,2.19849,0.341
388000,6,5.46867,-44.8245,5.19138,0.40925
389000,7,8.65584,-48.0477,2.16534,0.399
390000,3,-1.5118,-36.7387,2.81596,0.394
391000,3,0.303751,-45.4352,1.37225,0.4015
392000,5,3.90728,-60.0425,3.86451,0.412667
393000,2,4.82572,-41.5644,0.260173,0.400857
394000,3,4.3663,-31.112,2.86215,0.411667
395000,2,3.28171,-29.551,0.987653,0.385
396000,3,4.30283,-51.8962,1.42512,0.394
397000,3,1.04739,-41.3276,3.05631,0.387143
398000,3,3.89179,-38.7928,0.620466,0.396
399000,3,3.88514,-34.4278,1.62202,0.432
400000,4,1.9353,-60.0133,2.48676,0.42775
401000,2,3.3338,-31.8947,2.17566,0.393857
402000,4,5.99034,-31.8047,2.02211,0.398
403000,2,4.73444,-39.5008,0.870442,0.393
404000,6,3.43718,-55.8217,2.72812,0.418
405000,2,2.35148,-29.1962,1.51322,0.384333
406000,2,3.14204,-42.2724,1.32154,0.37
407000,2,3.0337,-40.1891,2.75317,0.39675
408000,3,1.54761,-32.9758,0.986378,0.37
409000,3,3.3103,-27.5377,3.73675,0.395
410000,3,5.76207,-39.4102,0.715995,0.382333
411000,3,6.80765,-30.6011,0.988478,0.411
412000,4,3.09732,-46.2881,3.42624,0.399417
413000,2,4.78652,-37.6205,0.576311,0.37125
414000,2,5.26995,-46.434,0.84724,0.387667
415000,2,4.31767,-34.0703,1.7959,0.415
416000,3,4.63855,-47.9894,2.82128,0.384
417000,2,4.79546,-33.7916,1.32606,0.43
418000,2,5.63953,-25.6413,0.484285,0.391
419000,2,5.52263,-29.13,0.472146,0.413
420000,6,5.78868,-60.2694,2.30056,0.43275
421000,7,-0.501645,-47.2775,8.48624,0.414
422000,8,4.59704,-54.7661,5.2356,0.423
423000,3,2.28102,-53.7325,3.13756,0.403737
424000,3,3.64983,-42.936,0.64875,0.412
425000,3,3.40683,-38.7025,1.23175,0.382
426000,2,4.34781,-45.8432,1.23061,0.396769
