generation,N_shifts,logPrior,logLik,eventRate,acceptRate
5722000,0,2.06391,126.31,0.0111265,0.271
5723000,0,1.7759,130.721,0.100263,0.298714
5724000,0,1.64816,112.685,0.423632,0.364765
5725000,0,-0.278539,114.658,2.35033,0.352
5726000,0,0.808253,120.739,1.26354,0.394
5727000,0,1.86781,115.97,0.203975,0.387
5728000,0,0.408749,111.992,1.66301,0.375
5729000,0,0.415907,128.393,1.65913,0.296286
5730000,0,1.73146,117.015,0.340326,0.374
5731000,0,0.284685,125.524,1.75952,0.3195
5732000,0,1.49796,118.611,0.384084,0.292
5733000,0,1.57527,125.141,0.267097,0.317
5734000,0,1.78281,131.56,0.26194,0.304
5735000,0,1.63338,118.161,0.438632,0.3644
5736000,0,1.83426,116.952,0.237748,0.348
5737000,0,1.82721,116.304,0.244797,0.342
5738000,0,1.04909,115.462,1.02292,0.337
5739000,0,1.74848,113.649,0.316005,0.351316
5740000,0,1.7643,113.441,0.307704,0.361
5741000,0,1.42188,113.164,0.650124,0.333
5742000,0,1.24336,118.839,0.831509,0.344667
5743000,0,0.752069,117.23,1.16793,0.372
5744000,0,0.613729,116.214,1.42978,0.326
5745000,0,1.76289,124.844,0.30772,0.293182
5746000,0,1.7173,131.017,0.134181,0.294087
5747000,0,1.26029,116.476,0.783766,0.359667
5748000,0,0.590841,129.748,0.243479,0.309
5749000,0,1.01395,129.064,0.193604,0.29425
5750000,0,0.938957,126.797,0.971793,0.309
5751000,0,1.73717,129.908,0.173579,0.273
5752000,0,1.93008,124.707,0.137094,0.317
5753000,0,-0.859027,121.43,0.303854,0.315
5754000,0,1.4092,120.342,0.66281,0.368615
5755000,0,1.7117,113.451,0.360305,0.383
5756000,0,1.16058,130.777,0.165541,0.31175
5757000,0,0.336096,126.944,0.990027,0.296
5758000,0,1.3963,118.63,0.675712,0.375
5759000,0,1.73783,118.685,0.334182,0.344
5760000,0,1.21161,126.971,0.335955,0.287667
5761000,0,1.9872,115.603,0.0848082,0.365
5762000,0,1.93572,115.998,0.136289,0.348
5763000,0,0.736816,129.497,1.28136,0.303667
5764000,0,1.42204,130.96,0.00417218,0.271
5765000,0,-0.101785,126.434,1.02109,0.29725
5766000,0,1.34663,121.298,0.0791676,0.346
5767000,0,1.98462,126.928,0.0856102,0.307
5768000,0,0.885634,128.646,0.047361,0.295
5769000,0,-0.788156,130.372,1.07267,0.272
5770000,0,1.54998,129.495,0.488548,0.295
5771000,0,1.98061,124.261,0.0746513,0.273
5772000,0,0.850654,129.068,0.0801483,0.307
5773000,0,0.237818,125.679,0.692984,0.279
5774000,0,2.02147,128.488,0.0235016,0.328
5775000,0,0.036493,127.389,0.000967145,0.302875
5776000,0,1.77116,122.806,0.273809,0.3005
